family,field,sibling_title,current_value,proposed_action
Smoke Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Smoked Out Gray in Black Pump Cover,166,per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Smoke Pump Cover Dusk,shopify--activity.universal,per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Smoke Pump Cover Off White,shopify--activity.universal,per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Butterfly Blue Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Glossy Gray Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Paranorman Black Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Paranorman Blood Red Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.activity [list.metaobject_reference],Smoked Out Gray in Black Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Smoke Pump Cover Dusk,shopify--target-gender.unisex,per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Smoke Pump Cover Off White,shopify--target-gender.unisex,per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Butterfly Blue Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Glossy Gray Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Paranorman Black Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Paranorman Blood Red Pump Cover,(null),per Rule G8
Smoke Pump Cover,metafield:Metafield: shopify.target-gender [list.metaobject_reference],Smoked Out Gray in Black Pump Cover,(null),per Rule G8
Graffiti Pump Cover,body_html,Black with White Graffiti Pump Cover,1238 chars,longest wins (Rule G7a)
Graffiti Pump Cover,body_html,Black with Blue Graffiti Pump Cover,1261 chars,longest wins (Rule G7a)
Graffiti Pump Cover,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Black with White Graffiti Pump Cover,shopify--color-pattern.black-white,per Rule G8
Graffiti Pump Cover,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Black with Blue Graffiti Pump Cover,(null),per Rule G8
Inferno Pump Cover,body_html,Blood red Inferno Pump Cover,1641 chars,longest wins (Rule G7a)
Inferno Pump Cover,body_html,Electric Inferno Pump Cover,1691 chars,longest wins (Rule G7a)
Inferno Pump Cover,body_html,Flame Pump Cover,1089 chars,longest wins (Rule G7a)
Inferno Pump Cover,body_html,Smoke Inferno Pump Cover,1618 chars,longest wins (Rule G7a)
Inferno Pump Cover,body_html,Toxic Inferno Pump Cover,1669 chars,longest wins (Rule G7a)
Inferno Pump Cover,template,Blood red Inferno Pump Cover,(null),most common (G4/G5/G6)
Inferno Pump Cover,template,Electric Inferno Pump Cover,(null),most common (G4/G5/G6)
Inferno Pump Cover,template,Flame Pump Cover,japan-collection,most common (G4/G5/G6)
Inferno Pump Cover,template,Smoke Inferno Pump Cover,(null),most common (G4/G5/G6)
Inferno Pump Cover,template,Toxic Inferno Pump Cover,(null),most common (G4/G5/G6)
Inferno Pump Cover,tag:tops,Flame Pump Cover,on some siblings only,UNION (Rule G1)
Inferno Pump Cover,tag:japanpart2,Flame Pump Cover,on some siblings only,UNION (Rule G1)
Inferno Pump Cover,collection:trending,Flame Pump Cover,on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:tops,Flame Pump Cover,on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:japan-restock,Flame Pump Cover,on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:in-stock,"Blood red Inferno Pump Cover, Electric Inferno Pump Cover, Smoke Inferno Pump Cover, Toxic Inferno Pump Cover",on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:japan-drop-part-3,Flame Pump Cover,on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:japan-drop-part-1-2,Flame Pump Cover,on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:supercharged,"Blood red Inferno Pump Cover, Electric Inferno Pump Cover, Smoke Inferno Pump Cover, Toxic Inferno Pump Cover",on some siblings only,UNION (Rule G2)
Inferno Pump Cover,collection:black-friday,"Blood red Inferno Pump Cover, Electric Inferno Pump Cover, Smoke Inferno Pump Cover, Toxic Inferno Pump Cover",on some siblings only,UNION (Rule G2)
Inferno Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Blood red Inferno Pump Cover,PUMP_COVER.jpg,per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Electric Inferno Pump Cover,PUMP_COVER.jpg,per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Flame Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Smoke Inferno Pump Cover,PUMP_COVER.jpg,per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Toxic Inferno Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Blood red Inferno Pump Cover,5322,per Rule G8
Inferno Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Electric Inferno Pump Cover,166,per Rule G8
Inferno Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Flame Pump Cover,505667,per Rule G8
Inferno Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Smoke Inferno Pump Cover,166,per Rule G8
Inferno Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Toxic Inferno Pump Cover,5322,per Rule G8
Inferno Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Blood red Inferno Pump Cover,5322,per Rule G8
Inferno Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Electric Inferno Pump Cover,166,per Rule G8
Inferno Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Flame Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Smoke Inferno Pump Cover,166,per Rule G8
Inferno Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Toxic Inferno Pump Cover,5322,per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart [multi_line_text_field],Blood red Inferno Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart [multi_line_text_field],Electric Inferno Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart [multi_line_text_field],Flame Pump Cover,"Size,Chest,Waist
S,121.9,91.4
M,127,96.5
L,134.6,104.1
XL,139.7,109.2
2XL,147.3,116.8
3XL,152.4,121.9
4XL,157.5,127",per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart [multi_line_text_field],Smoke Inferno Pump Cover,(null),per Rule G8
Inferno Pump Cover,metafield:Metafield: custom.size_chart [multi_line_text_field],Toxic Inferno Pump Cover,(null),per Rule G8
Inferno Cropped Pump Cover,body_html,Inferno Cropped Pink Pump Cover,1502 chars,longest wins (Rule G7a)
Inferno Cropped Pump Cover,body_html,Inferno Cropped Red Pump Cover,1526 chars,longest wins (Rule G7a)
Inferno Cropped Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Inferno Cropped Pink Pump Cover,CROPPED_PUMP_COVER.jpg,per Rule G8
Inferno Cropped Pump Cover,metafield:Metafield: custom.size_chart_image [file_reference],Inferno Cropped Red Pump Cover,PUMP_COVER.jpg,per Rule G8
Inferno Cropped Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Inferno Cropped Pink Pump Cover,212,per Rule G8
Inferno Cropped Pump Cover,metafield:Metafield: mc-facebook.google_product_category [string],Inferno Cropped Red Pump Cover,166,per Rule G8
Inferno Cropped Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Inferno Cropped Pink Pump Cover,212,per Rule G8
Inferno Cropped Pump Cover,metafield:Metafield: mm-google-shopping.google_product_category [string],Inferno Cropped Red Pump Cover,166,per Rule G8
Heavyweight Sweatpants,price,Gunmetal Gray Heavyweight Sweatpants,$75.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Faded Black Heavyweight Sweatpants,$75.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Navy Heavyweight Sweatpants,$65.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Forest Green Heavyweight Sweatpants,$65.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Washed Red Heavyweight Sweatpants,$65.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Heather grey Heavyweight Sweatpants,$65.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Pitch Black Heavyweight Sweatpants,$65.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Amethyst Heavyweight Sweatpants,$70.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Amethyst Camo Heavyweight Sweatpants,$75.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Arctic Camo Heavyweight Sweatpants,$75.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,price,Cherry Blossom Heavyweight Sweats,$75.0,keep per-variant (Rule G3)
Heavyweight Sweatpants,body_html,Gunmetal Gray Heavyweight Sweatpants,1279 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Faded Black Heavyweight Sweatpants,1301 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Navy Heavyweight Sweatpants,524 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Forest Green Heavyweight Sweatpants,500 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Washed Red Heavyweight Sweatpants,530 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Heather grey Heavyweight Sweatpants,532 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Pitch Black Heavyweight Sweatpants,531 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Amethyst Heavyweight Sweatpants,303 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Amethyst Camo Heavyweight Sweatpants,268 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Arctic Camo Heavyweight Sweatpants,266 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,body_html,Cherry Blossom Heavyweight Sweats,1261 chars,longest wins (Rule G7a)
Heavyweight Sweatpants,type,Gunmetal Gray Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Faded Black Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Navy Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Forest Green Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Washed Red Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Heather grey Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Pitch Black Heavyweight Sweatpants,Evergreen Sweats,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Amethyst Heavyweight Sweatpants,Sweatpants,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Amethyst Camo Heavyweight Sweatpants,Sweatpants,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Arctic Camo Heavyweight Sweatpants,Sweatpants,most common (G4/G5/G6)
Heavyweight Sweatpants,type,Cherry Blossom Heavyweight Sweats,Sweatpants,most common (G4/G5/G6)
Heavyweight Sweatpants,template,Gunmetal Gray Heavyweight Sweatpants,platmart-swatch-product,most common (G4/G5/G6)
Heavyweight Sweatpants,template,Faded Black Heavyweight Sweatpants,platmart-swatch-product,most common (G4/G5/G6)
Heavyweight Sweatpants,template,Navy Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Forest Green Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Washed Red Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Heather grey Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Pitch Black Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Amethyst Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Amethyst Camo Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Arctic Camo Heavyweight Sweatpants,(null),most common (G4/G5/G6)
Heavyweight Sweatpants,template,Cherry Blossom Heavyweight Sweats,japan-collection,most common (G4/G5/G6)
Heavyweight Sweatpants,tag:size-2xl,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,DROP (Rule G1 exception)
Heavyweight Sweatpants,tag:Flavors,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:EGSweatpants,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:restockdroppart1,"Amethyst Camo Heavyweight Sweatpants, Arctic Camo Heavyweight Sweatpants",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:evergreen sweats,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:size-s,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,DROP (Rule G1 exception)
Heavyweight Sweatpants,tag:bottoms,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:japandroppart1,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:sale,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:size-m,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,DROP (Rule G1 exception)
Heavyweight Sweatpants,tag:75-100,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants, Amethyst Camo Heavyweight Sweatpants, Arctic Camo Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G1)
Heavyweight Sweatpants,tag:size-l,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,DROP (Rule G1 exception)
Heavyweight Sweatpants,tag:size-xl,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,DROP (Rule G1 exception)
Heavyweight Sweatpants,collection:neutral-drop,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:neutral-sweats,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:japan-restock,"Amethyst Camo Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:size-s,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:flavors-evergreen,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:eg-sweatpants,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:in-stock,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:march-restock,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:japan-drop-part-1,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:japan-drop-part-1-2,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:size-l,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:size-2xl,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:black-friday,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:dark-matter,Amethyst Heavyweight Sweatpants,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:product-templates,Heather grey Heavyweight Sweatpants,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:arctic-drop,Arctic Camo Heavyweight Sweatpants,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:japan-drop-part-2,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:cherry-restock-discord-exclusive,Cherry Blossom Heavyweight Sweats,on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:tiktok-shop-collection,"Faded Black Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:restock-drop-part-1,"Amethyst Camo Heavyweight Sweatpants, Arctic Camo Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:sale,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:size-m,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:size-xl,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Navy Heavyweight Sweatpants, Forest Green Heavyweight Sweatpants, Washed Red Heavyweight Sweatpants, Heather grey Heavyweight Sweatpants, Pitch Black Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,collection:75-100,"Gunmetal Gray Heavyweight Sweatpants, Faded Black Heavyweight Sweatpants, Amethyst Camo Heavyweight Sweatpants, Arctic Camo Heavyweight Sweatpants, Cherry Blossom Heavyweight Sweats",on some siblings only,UNION (Rule G2)
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Gunmetal Gray Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Faded Black Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Navy Heavyweight Sweatpants,shopify--waist-rise.mid,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Forest Green Heavyweight Sweatpants,shopify--waist-rise.mid,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Washed Red Heavyweight Sweatpants,shopify--waist-rise.mid,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Heather grey Heavyweight Sweatpants,shopify--waist-rise.mid,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Pitch Black Heavyweight Sweatpants,shopify--waist-rise.mid,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Amethyst Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Amethyst Camo Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Arctic Camo Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.waist-rise [list.metaobject_reference],Cherry Blossom Heavyweight Sweats,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Gunmetal Gray Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Faded Black Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Navy Heavyweight Sweatpants,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Forest Green Heavyweight Sweatpants,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Washed Red Heavyweight Sweatpants,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Heather grey Heavyweight Sweatpants,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Pitch Black Heavyweight Sweatpants,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Amethyst Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Amethyst Camo Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Arctic Camo Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.fabric [list.metaobject_reference],Cherry Blossom Heavyweight Sweats,shopify--fabric.cotton,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Gunmetal Gray Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Faded Black Heavyweight Sweatpants,shopify--color-pattern.gray-1,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Navy Heavyweight Sweatpants,shopify--color-pattern.navy,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Forest Green Heavyweight Sweatpants,shopify--color-pattern.forest-green-new,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Washed Red Heavyweight Sweatpants,shopify--color-pattern.red,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Heather grey Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Pitch Black Heavyweight Sweatpants,shopify--color-pattern.black-7,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Amethyst Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Amethyst Camo Heavyweight Sweatpants,(null),per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Arctic Camo Heavyweight Sweatpants,shopify--color-pattern.white,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.color-pattern [list.metaobject_reference],Cherry Blossom Heavyweight Sweats,shopify--color-pattern.floral,per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.size [list.metaobject_reference],Gunmetal Gray Heavyweight Sweatpants,"shopify--size.s, shopify--size.m, shopify--size.l, shopify--size.xl, shopify--size.2xl, shopify--size.3xl, shopify--size.4xl",per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.size [list.metaobject_reference],Faded Black Heavyweight Sweatpants,"shopify--size.s, shopify--size.m, shopify--size.l, shopify--size.xl, shopify--size.2xl, shopify--size.3xl, shopify--size.4xl",per Rule G8
Heavyweight Sweatpants,metafield:Metafield: shopify.size [list.metaobject_reference],Navy Heavyweight Sweatpants,"shopify--size.s, shopify--size.m, shopify--size.l, shopify--size.xl, shopify--size.2xl",per Rule G8
